date,open,high,low,close,volume,adj_close
2018-02-15,9,9,9,9,5974306,9
2018-03-07,9,5.03,5,5.03,17037200,5.03
2018-03-09,5.03,7.25,6.99,7.25,400000,7.25
2018-03-12,7.25,7.1,7.1,7.1,200000,7.1
2018-03-13,7.1,7.25,7.25,7.25,300000,7.25
2018-03-20,7.25,7.25,7.25,7.25,200000,7.25
2018-04-02,7.25,6.9,6.9,6.9,1930000,6.9
2018-05-03,6.9,6.9,6.9,6.9,1920289,6.9
2018-05-10,6.9,6.9,6.9,6.9,1101139,6.9
2018-05-24,6.9,6.9,6.9,6.9,371689,6.9
2018-06-01,6.9,6.56,6.56,6.56,1507528,6.56
2018-11-23,6.56,20,20,20,36320,20
2018-11-28,20,20,20,20,17222,20
2019-02-28,20,40,40,40,125000,40
2019-05-06,40,50,50,50,24962,50
2019-05-10,50,50,50,50,20000,50
2019-05-24,50,55,55,55,1817,55
2019-05-28,55,55,55,55,18134,55
2019-05-30,55,60,60,60,8000,60
2019-05-31,60,60,60,60,16559,60
2019-06-03,60,60,60,60,663,60
2019-06-06,60,62,62,62,53853,62
2019-06-07,62,62.5,62.5,62.5,818223,62.5
2019-06-10,62.5,65,65,65,2000,65
2019-06-11,65,67.5,65.1,67.5,38000,67.5
2019-06-12,67.5,70.02,70.02,70.02,20000,70.02
2019-06-13,70.02,78,75.01,78,65000,78
2019-06-14,78,85,84.8,84.8,201694,84.8
2019-06-17,84.8,84.99,84.99,84.99,8500,84.99
2019-06-18,84.99,84.99,84.99,84.99,5813,84.99
2019-06-20,84.99,84.97,84.97,84.97,20000,84.97
2019-06-26,84.97,81.6,81.6,81.6,17000,81.6
2019-06-27,81.6,71,71,71,59565,71
2019-06-28,71,71,71,71,87976,71
2019-07-01,71,71,71,71,13000,71
2019-07-15,71,70,70,70,3052,70
2019-07-17,70,70,70,70,5000,70
2019-07-18,70,70,70,70,2050,70
2019-08-07,70,70,70,70,4000,70
2019-08-19,70,70,70,70,1500,70
2019-08-29,70,23.35,23.35,23.35,31597,23.35
2019-09-04,23.35,70,70,70,29213,70
2019-10-02,70,70,70,70,74000,70
2019-10-08,70,71,71,71,60000,71
2019-10-21,71,71,71,71,864417,71
2019-10-22,71,71,71,71,864417,71
2019-10-30,71,71,71,71,501583,71
2019-11-19,71,71,71,71,0,71
2019-11-20,71,71,71,71,0,71
2019-11-21,71,71,71,71,0,71
2019-11-23,71,71,71,71,0,71
2019-12-20,71,71,71,71,0,71
2020-02-14,71,71,71,71,1428,71
2020-04-09,71,71,71,71,0,71
2020-04-18,71,71,71,71,0,71
2020-05-05,71,71,71,71,2000,71
2020-05-15,71,71,71,71,0,71
2020-06-17,59,59,59,59,8253,59
2020-11-23,59,59,59,59,273,59
2020-12-10,59,59,59,59,119,59
2020-12-11,59,57.99,57.99,59,60344,59
2020-12-14,59,59,59,59,9180,59
2020-12-15,59,58,58,58,11000,58
2020-12-17,59,57.99,57.99,59,42319,59
2020-12-18,59,58,58,58,68387,58
2020-12-22,58,57.99,57.99,58,60000,58
2020-12-24,58,58,58,58,1000,58
2020-12-28,58,58,58,58,11027,58
2020-12-30,58,58,58,58,297,58
2021-01-11,58,58,58,58,1885,58
2021-01-12,58,58,58,58,1353,58
2021-01-20,58,51.9,51.9,58,32064,58
2021-02-05,58,51.9,51.9,58,20000,58
2021-02-08,58,51.9,51.9,58,20000,58
2021-02-09,58,58,58,58,5000,58
2021-02-11,58,58,58,58,35,58
2021-02-19,58,52.5,52.5,52.5,20000,52.5
2021-02-22,58,52.52,52.52,52.52,28352,52.52
2021-02-24,52.52,51.52,51.52,52.52,37859,52.52
2021-02-25,52.52,52.52,52.52,52.52,1701,52.52
2021-02-26,52.52,51.52,51.52,52.52,30000,52.52
2021-03-01,52.52,52.52,52.52,52.52,2761,52.52
2021-03-02,52.52,52.52,52.52,52.52,1163,52.52
2021-03-09,52.52,52.52,52.52,52.52,1000,52.52
2021-03-12,52.52,51.52,51.52,52.52,20000,52.52
