date,open,high,low,close,volume,adj_close
2019-01-09,1692,1692,1685,1692,1207520,1692
2019-01-10,1692,1700,1699,1700,116147,1700
2019-01-11,1700,1716,1716,1716,19138,1716
2019-01-22,1716,1727.6,1725.2,1725.8,20118,1725.8
2019-01-23,1725.8,1733.2,1731,1731,60301,1731
2019-01-24,1731,1731,1731,1731,35301,1731
2019-01-25,1731,1745.2,1745.2,1745.2,85000,1745.2
2019-01-28,1745.2,1730.9,1723.5,1730.5,739000,1730.5
2019-01-29,1730.5,1739.1,1733.7,1737.2,1246443,1737.2
2019-01-30,1737.2,1737.7,1729.8,1737.6,609940,1737.6
2019-02-01,1737.6,1738.7,1710,1738.6,347247,1738.6
2019-02-04,1738.6,1731.7,1731.7,1731.7,10346,1731.7
2019-02-05,1731.7,1743.4,1743.4,1743.4,168583,1743.4
2019-02-07,1743.4,1738,1733.1,1734.3,52677,1734.3
2019-02-08,1734.3,1733.9,1733,1733.9,312997,1733.9
2019-02-11,1733.9,1730.3,1730.2,1730.2,173175,1730.2
2019-02-18,1730.2,1725,1725,1725,9452,1725
2019-02-21,1725,1721,1721,1721,21471,1721
2019-02-28,1721,1721,1721,1721,59,1721
2019-03-01,1721,1721,1721,1721,90,1721
2019-03-07,1721,1670.3,1670.3,1721,2087,1721
2019-03-08,1721,1663.7,1658,1663.7,138015,1663.7
2019-03-13,1663.7,1687,1687,1687,34575,1687
2019-03-14,1687,1685,1685,1685,21662,1685
2019-03-15,1685,1685,1685,1685,20021,1685
2019-03-18,1685,1695.8,1695.8,1685,2941,1685
2019-03-19,1685,1696.4,1688.5,1688.5,32785,1688.5
2019-03-20,1688.5,1678.7,1678.7,1688.5,2972,1688.5
2019-03-21,1688.5,1667,1667,1688.5,2965,1688.5
2019-03-22,1688.5,1652.8,1652.8,1688.5,1809,1688.5
2019-03-27,1688.5,1652.2,1652.2,1652.2,12043,1652.2
2019-03-29,1652.2,1654.5,1654.5,1654.5,21064,1654.5
2019-04-01,1654.5,1672.9,1672.9,1672.9,17931,1672.9
2019-04-04,1672.9,1648.5,1648.5,1672.9,1931,1672.9
2019-04-08,1672.9,1657.1,1656,1656.7,18475,1656.7
2019-04-10,1656.7,1661,1660.7,1660.8,19400,1660.8
2019-04-15,1660.8,1649,1649,1649,571601,1649
2019-04-16,1649,1650,1647,1647,190533,1647
2019-04-17,1647,1660,1646.9,1648.2,101157,1648.2
2019-04-18,1648.2,1659.5,1655,1655,9750,1655
2019-04-22,1655,1655,1649.3,1652.9,23242,1652.9
2019-04-23,1652.9,1644.5,1644.5,1644.5,9806,1644.5
2019-04-24,1644.5,1636.2,1636.2,1644.5,2531,1644.5
2019-04-25,1644.5,1627.6,1625.2,1625.2,7527,1625.2
2019-04-26,1625.2,1630.2,1630,1630.2,4906,1630.2
2019-04-29,1630.2,1631.4,1631.4,1630.2,1532,1630.2
2019-04-30,1630.2,1626.8,1625.7,1625.7,15674,1625.7
2019-05-03,1625.7,1620.5,1619.7,1619.7,4266,1619.7
2019-05-06,1619.7,1606.5,1596.2,1606.5,47749,1606.5
2019-05-07,1606.5,1604.5,1604.5,1604.5,11878,1604.5
2019-05-08,1604.5,1593.4,1590.2,1604.5,1138,1604.5
2019-05-09,1604.5,1584,1584,1584,26183,1584
2019-05-10,1584,1589.4,1575.7,1586.3,140898,1586.3
2019-05-13,1586.3,1559.8,1559,1559.8,42506,1559.8
2019-05-16,1559.8,1571,1570,1570.6,43403,1570.6
2019-05-17,1570.6,1555.5,1555.5,1555.5,53691,1555.5
2019-05-20,1555.5,1545,1534.9,1540.3,12622,1540.3
2019-05-22,1540.3,1549.1,1549.1,1540.3,1672,1540.3
2019-05-23,1540.3,1530.6,1530.6,1530.6,15000,1530.6
2019-05-24,1530.6,1527.5,1527.4,1527.4,3862,1527.4
2019-05-27,1527.4,1527.4,1527.4,1527.4,751,1527.4
2019-05-29,1527.4,1503.7,1503.7,1503.7,5169,1503.7
2019-05-30,1503.7,1530,1520,1530,55000,1530
2019-05-31,1530,1526.4,1526.4,1526.4,6558,1526.4
