date,open,high,low,close,volume,adj_close
2018-02-02,3268,3750,3268,3605.4,20356850,3605.4
2018-02-05,3605.4,3650,3490,3500,320493,3500
2018-02-06,3500,3500,3399.7,3425,10773,3425
2018-02-07,3425,3500,3430,3500,116532,3500
2018-02-08,3500,3565,3565,3565,336,3565
2018-02-09,3565,3599,3500,3500,215714,3500
2018-02-12,3500,3500,3500,3500,1168,3500
2018-02-13,3500,3500,3474.5,3500,316577,3500
2018-02-14,3500,3500,3500,3500,408252,3500
2018-02-15,3500,3460,3460,3460,1001,3460
2018-02-16,3460,3460,3460,3460,42,3460
2018-02-19,3460,3500,3452.1,3500,1589,3500
2018-02-20,3500,3510,3500,3510,81910,3510
2018-02-21,3510,3510,3500,3500,301033,3500
2018-02-22,3500,3500,3500,3500,38359,3500
2018-02-26,3500,3580,3500.1,3580,297115,3580
2018-02-27,3580,3500,3500,3500,350750,3500
2018-02-28,3500,3500,3500,3500,45000,3500
2018-03-02,3500,3550,3550,3550,5684,3550
2018-03-05,3550,3550,3550,3550,840,3550
2018-03-06,3550,3525,3525,3525,10000,3525
2018-03-07,3525,3550,3526,3526,6406,3526
2018-03-08,3526,3550,3550,3550,10000,3550
2018-03-12,3550,3600,3495.8,3600,21942,3600
2018-03-13,3600,3650,3600.2,3647.4,5278,3647.4
2018-03-14,3647.4,3670,3650,3670,9988,3670
2018-03-15,3670,3720,3707,3720,4996,3720
2018-03-16,3720,3800.1,3750,3800.1,60312,3800.1
2018-03-19,3800.1,3800,3712,3800,277669,3800
2018-03-23,3800,3690,3625,3625,40016,3625
2018-03-26,3625,3800,3650,3757.2,39823,3757.2
2018-03-27,3757.2,3800,3800,3800,19735,3800
2018-03-28,3800,3694.9,3694,3694,5064,3694
2018-03-29,3694,3900,3700,3900,546590,3900
2018-04-02,3900,3950,3925,3925,51555,3925
2018-04-03,3925,3910,3910,3910,50000,3910
2018-04-04,3910,3910,3900,3900,27832,3900
2018-04-05,3900,4200,3935,4199,271072,4199
2018-04-06,4199,4390,4200,4390,222900,4390
2018-04-09,4380,4390,4300,4300,10367,4300
2018-04-10,4300,4300,4300,4300,848,4300
2018-04-11,4300,4180,4180,4180,3000,4180
2018-04-12,4180,4141.6,4102.7,4102.7,705,4102.7
2018-04-16,4102.7,4070,3900,3900,100000,3900
2018-04-17,3900,3910,3910,3910,225000,3910
2018-04-19,3910,4050,4010,4050,264599,4050
2018-04-20,4050,4129,4050,4127,7704,4127
2018-04-23,4127,4128.9,4128.9,4127,3400,4127
2018-04-24,4127,4130,4130,4130,1200,4130
2018-04-25,4130,4063.9,4050,4050,30000,4050
2018-04-26,4050,4140,4140,4140,3274,4140
2018-04-27,4140,4135,4135,4135,100000,4135
2018-04-30,4135,4135,4135,4135,10000,4135
2018-05-02,4135,4135,4135,4135,75000,4135
2018-05-03,4135,4300,4215,4300,5583,4300
2018-05-04,4300,4270,4270,4270,130000,4270
2018-05-07,4270,4500,4395,4500,58895,4500
2018-05-09,4500,4525,4525,4525,14050,4525
2018-05-11,4525,4480,4480,4480,154815,4480
2018-05-14,4480,4476.6,4460,4460,175000,4460
2018-05-15,4460,4500,4369.8,4369.8,11942,4369.8
2018-05-16,4369.8,4500,4435.4,4500,585953,4500
2018-05-17,4500,4680,4565,4680,8778,4680
2018-05-18,4680,4900,4773.6,4900,118016,4900
2018-05-22,4900,4950,4950,4950,27847,4950
2018-05-23,4950,4950,4949.9,4949.9,254,4949.9
2018-05-24,4949.9,4950,4950,4950,250,4950
2018-05-25,4950,4950,4950,4950,50,4950
2018-05-29,4950,4880,4880,4880,25052,4880
2018-05-30,4880,4880,4880,4880,647,4880
2018-06-01,4880,4811.6,4811.6,4811.6,2773,4811.6
2018-06-04,4811.6,4789,4719.4,4789,42839,4789
2018-06-06,4789,4690.2,4661.1,4666.9,5773,4666.9
2018-06-18,4666.9,4660,4660,4660,1287,4660
2018-06-19,4660,4660,4660,4660,922,4660
2018-06-25,4660,4525.2,4525.2,4525.2,127,4525.2
2018-06-26,4525.2,4515.4,4515.4,4515.4,918,4515.4
2018-06-27,4515.4,4496,4496,4496,361,4496
2018-06-28,4496,4500,4500,4500,14000,4500
2018-07-04,4500,4500,4500,4500,3448,4500
2018-07-05,4500,4500,4500,4500,471,4500
2018-07-06,4500,4500.1,4500.1,4500.1,1261,4500.1
2018-07-12,4496,4496,4496,4496,424,4496
2018-07-17,4496,4500,4500,4500,201,4500
2018-07-19,4500,4575,4502,4575,271,4575
2018-07-20,4575,4685,4685,4685,2914,4685
2018-07-23,4685,4738.8,4738.8,4738.8,1055,4738.8
2018-07-24,4738.8,4840,4835.9,4835.9,5699,4835.9
2018-07-25,4835.9,4900,4900,4900,2500,4900
2018-07-27,4900,4900,4900,4900,15000,4900
2018-07-31,4900,4950,4950,4950,9050,4950
2018-08-02,4950,4952.4,4952.4,4952.4,2750,4952.4
2018-08-03,4952.4,5050,5000,5043.6,3985,5043.6
2018-08-06,5043.6,5265,5265,5265,19002,5265
2018-08-07,5265,5200,5200,5200,160,5200
2018-08-08,5200,5225,5200,5225,5329,5225
2018-08-09,5225,5225,5225,5225,54072,5225
2018-08-10,5225,5225,5225,5225,67450,5225
2018-08-16,5225,5225,5225,5225,100,5225
2018-08-20,5225,5225,5225,5225,3079,5225
2018-08-21,5225,5300.1,5300,5300.1,17894,5300.1
2018-08-22,5300.1,5300,5300,5300,209340,5300
2018-08-23,5300,5300,5300,5300,28302,5300
2018-08-24,5300,5300,5300,5300,130000,5300
2018-08-27,5300,5300,5300,5300,3206,5300
2018-08-29,5300,5300,5300,5300,1021,5300
2018-08-30,5300,5295,5295,5295,433,5295
2018-09-05,5295,5330,5294.9,5330,7394,5330
2018-09-06,5330,5330,5330,5330,468,5330
2018-09-07,5330,5400,5400,5400,6964,5400
2018-09-10,5400,5504.8,5504.8,5504.8,2963,5504.8
2018-09-11,5504.8,5675,5550,5675,552472,5675
2018-09-12,5675,5700,5675,5675,38668,5675
2018-09-13,5675,5700,5700,5700,2055,5700
2018-09-14,5700,5700,5700,5700,2595,5700
2018-09-20,5700,5700,5610,5650,73240,5650
2018-09-21,5650,5650,5650,5650,40000,5650
2018-09-26,5650,5650,5650,5650,784,5650
2018-10-04,5650,5535.1,5535.1,5535.1,784,5535.1
2018-10-05,5535.1,5650,5600,5650,43685,5650
2018-10-08,5650,5700,5700,5700,5212,5700
2018-10-12,5700,5750,5750,5750,15652,5750
2018-10-18,5750,5800,5750,5799.2,8280,5799.2
2018-10-22,5799.2,6029.6,5864.9,6029.6,11810,6029.6
2018-10-23,6029.6,6130,6035,6130,59906,6130
2018-10-24,6130,6100,6100,6100,81997,6100
2018-10-26,6100,6075,6075,6075,82305,6075
2018-10-29,6075,6075,6075,6075,53054,6075
2018-10-30,6075,6100,5975,6000,944440,6000
2018-10-31,6000,6000,6000,6000,633,6000
2018-11-05,6000,6030,6000,6000,1551,6000
2018-11-06,6000,6030,6030,6030,832,6030
2018-11-13,6030,6030,6030,6030,8000,6030
2018-11-14,6030,6030,6030,6030,122434,6030
2018-11-15,6030,6030,6030,6030,80,6030
2018-11-16,6030,5923.5,5850,5850,302329,5850
2018-11-19,5850,6099,5967.8,6099,13663,6099
2018-11-21,6099,6000,5972,6000,40150,6000
2018-11-26,6000,6000,5923.5,5923.5,300,5923.5
2018-11-27,5923.5,6000,6000,6000,25001,6000
2018-11-28,6000,6000,6000,6000,64639,6000
2018-11-30,6000,6000,6000,6000,13,6000
2018-12-04,6000,6100,6100,6100,2268,6100
2018-12-05,6100,6199,6198,6199,75622,6199
2018-12-10,6199,6150,6150,6150,100000,6150
2018-12-11,6150,6200,6200,6200,229050,6200
2018-12-13,6200,6200,6200,6200,88705,6200
2018-12-14,6200,6250,6220,6250,100370,6250
2018-12-17,6250,6350,6255,6350,128324,6350
2018-12-19,6350,6500,6500,6500,92400,6500
2018-12-20,6500,6500,6500,6500,25,6500
2018-12-28,6500,6450,6450,6450,77510,6450
2019-01-02,6450,6510,6510,6510,2791,6510
2019-01-03,6510,6600,6600,6600,2791,6600
2019-01-07,6600,6750,6600,6750,300474,6750
2019-01-08,6750,7050,6800,7050,205363,7050
2019-01-09,7050,7050,7050,7050,4661,7050
2019-01-10,7050,7050,7050,7050,70,7050
2019-01-11,7050,6894.5,6894.5,6894.5,159,6894.5
2019-01-14,6894.5,6846,6846,6894.5,729,6894.5
2019-01-16,6894.5,6900,6700,6760.9,5734,6760.9
2019-01-21,6760.9,6900,6900,6901,2154,6901
2019-01-23,6901,6901,6901,6901,5478,6901
2019-01-31,6901,6950,6950,6950,2870,6950
2019-02-04,6950,6950,6900,6900,4237,6900
2019-02-07,6900,6920,6800,6909.7,7717,6909.7
2019-02-12,6909.7,6900,6900,6900,9710,6900
2019-02-13,6900,6800,6800,6800,7388,6800
2019-02-14,6800,6800,6800,6800,438,6800
2019-02-20,6800,6593.5,6593.5,6593.5,2098,6593.5
2019-02-26,6593.5,6649,6649,6649,7518,6649
2019-03-01,6649,6650,6650,6650,112782,6650
2019-03-04,6650,6700,6650,6699.9,29392,6699.9
2019-03-05,6699.9,6700,6700,6700,140424,6700
2019-03-12,6700,6800,6800,6800,30424,6800
2019-03-13,6800,6800,6700.3,6800,9418,6800
2019-03-14,6800,6791,6650,6791,10493,6791
2019-03-15,6791,6790,6500,6500,58933,6500
2019-03-25,6500,6500,6500,6500,1724,6500
2019-03-26,6500,6350.1,6350.1,6350.1,80000,6350.1
2019-03-27,6350.1,6350,6265,6347.3,81595,6347.3
2019-03-28,6347.3,6347.3,6347.3,6347.3,8,6347.3
2019-03-29,6347.3,6350,6350,6350,7874,6350
2019-04-01,6350,6450,6450,6350,392,6350
2019-04-16,6350,6290,6290,6350,431,6350
2019-04-17,6350,6350,6349.9,6349.9,18431,6349.9
2019-04-18,6349.9,6350,6350,6350,2183,6350
2019-04-26,6350,6350,6350,6350,5000,6350
2019-04-29,6350,6190.5,6190.5,6190.5,2243,6190.5
2019-04-30,6190.5,6069.1,5870,5870,204604,5870
2019-05-03,5870,5870,5870,5870,4940,5870
2019-05-07,5870,5870,5870,5870,300,5870
2019-05-08,5870,5802.1,5800,5800,56382,5800
2019-05-10,5800,5800,5800,5800,50,5800
2019-05-13,5800,5850,5840,5850,2771,5850
2019-05-15,5850,5850,5850,5850,25641,5850
2019-05-20,5850,5850,5850,5850,30000,5850
2019-05-22,5850,5850,5850,5850,60219,5850
2019-05-27,5850,5900,5900,5900,110169,5900
2019-05-30,5900,5850,5850,5850,85471,5850
2019-06-03,5850,5950,5850,5950,13792,5950
2019-06-06,5950,6000,5950,6000,2559,6000
2019-06-07,6000,6000,6000,6000,3808,6000
2019-06-11,6000,6000,6000,6000,4763,6000
2019-06-14,6000,5930,5874.9,5930,51025,5930
2019-06-19,5930,5930,5930,5930,132000,5930
2019-06-20,5930,5930,5930,5930,168634,5930
2019-07-04,5930,5930,5900,5900,84726,5900
2019-07-05,5900,5900,5900,5900,94000,5900
2019-07-08,5900,5900,5900,5900,85000,5900
2019-07-10,5900,5900,5900,5900,118644,5900
2019-07-17,5900,5900,5900,5900,80000,5900
2019-07-22,5900,5900,5900,5900,118900,5900
2019-07-23,5900,5900,5900,5900,105503,5900
2019-07-24,5900,5850,5850,5850,165300,5850
2019-07-26,5850,5777.8,5700,5700,17543,5700
2019-08-01,5700,5700,5650,5650,3361,5650
2019-08-02,5650,5600,5600,5600,2506,5600
2019-08-05,5600,5500,5399.9,5399.9,60708,5399.9
2019-08-06,5399.9,5400,5400,5399.9,925,5399.9
2019-08-08,5399.9,5325,5325,5325,188000,5325
2019-08-09,5325,5325,5325,5325,80,5325
2019-08-20,5325,5195.2,5195.2,5195.2,2703,5195.2
2019-08-21,5195.2,5100,5100,5100,58824,5100
2019-08-22,5100,5200,5200,5200,125000,5200
2019-08-23,5200,5098.1,5098.1,5098.1,2756,5098.1
2019-08-26,5098.1,5150,5150,5150,97088,5150
2019-08-28,5150,5150,5150,5150,58353,5150
2019-09-04,5150,5150,5150,5150,13592,5150
2019-09-05,5150,5150,5150,5150,97088,5150
2019-09-09,5150,5150,5150,5150,1587,5150
2019-09-11,5150,5100.1,5100.1,5100.1,523608,5100.1
2019-09-13,5100.1,5100.1,5100.1,5100.1,183000,5100.1
2019-09-17,5100.1,5250,5200,5200.3,96740,5200.3
2019-09-26,5200.3,5220,5200,5200.4,83910,5200.4
2019-10-03,5200.4,5150,5150,5150,2735,5150
2019-10-04,5150,5150,5150,5150,4000,5150
2019-10-07,5150,5100,5050,5050,40584,5050
2019-10-10,5050,4976.7,4950,4950,212932,4950
2019-10-16,4950,5000,5000,5000,90000,5000
2019-10-17,5000,5141.3,5141.3,5141.3,2730,5141.3
2019-10-18,5141.3,5263,5212.3,5237.5,5360,5237.5
2019-10-21,5237.5,5145.4,5019.6,5081.7,5524,5081.7
2019-10-22,5081.7,5273.2,5171.7,5222,5376,5222
2019-10-23,5222,5293.4,5293.4,5293.4,2651,5293.4
2019-10-25,5293.4,5300,5300,5300,5608,5300
2019-10-28,5300,5300,5300,5300,90000,5300
2019-10-30,5300,5223.2,5223.2,5223.2,5374,5223.2
2019-11-04,5223.2,5173.9,5173.9,5223.2,530,5223.2
2019-11-12,5223.2,5124.6,5124.6,5124.6,2741,5124.6
2019-11-14,5124.6,5124,5124,5124,7705,5124
2019-11-19,5124,5124,5124,5124,0,5124
2019-11-20,5124,5100,5026,5099.2,101971,5099.2
