date,open,high,low,close,volume,adj_close
2020-12-01,2464500,2464500,2464500,2464500,4,2464500
2020-12-03,2464500,2435800,2428900,2435129,28,2435129
2020-12-10,2435129,2307800,2290600,2307800,11,2307800
2020-12-14,2292164,2341600,2336900,2341600,3,2341600
2020-12-15,2338467,2340100,2328700,2332500,3,2332500
2020-12-16,2332500,2379900,2362100,2379900,3,2379900
2020-12-18,2373967,2360400,2360400,2373967,1,2373967
2020-12-21,2373967,2375100,2356000,2375100,5,2375100
2020-12-22,2360560,2349300,2349300,2349300,10,2349300
2020-12-23,2349300,2305500,2305500,2305500,4,2305500
2020-12-29,2305500,2392300,2392300,2392300,1,2392300
2020-12-30,2305500,2399400,2399400,2399400,1,2399400
2021-01-04,2305500,2313900,2313900,2313900,1,2313900
2021-01-06,2305500,2202200,2202200,2202200,2,2202200
2021-01-07,2305500,2290200,2290200,2305500,1,2305500
2021-01-08,2305500,2275000,2275000,2275000,2,2275000
2021-01-12,2305500,2283800,2283800,2283800,1,2283800
2021-01-15,2305500,2316000,2316000,2305500,1,2305500
2021-01-25,2305500,2460000,2419600,2419600,7,2419600
2021-01-26,2419600,2451200,2451200,2451200,4,2451200
2021-01-27,2451200,2457500,2445500,2445500,3,2445500
2021-01-28,2449500,2424400,2424400,2424400,1,2424400
2021-01-29,2449500,2385200,2385200,2385200,8,2385200
2021-02-01,2385200,2389300,2389300,2389300,8,2389300
2021-02-03,2389300,2472400,2472400,2472400,1,2472400
2021-02-08,2389300,2451900,2451900,2451900,2,2451900
2021-02-10,2389300,2372400,2372400,2372400,1,2372400
2021-02-22,2389300,2280000,2280000,2280000,1,2280000
